amount_borrowed,term,borrower_rate,installment,grade,principal_balance,principal_paid,interest_paid,late_fees_paid,days_past_due,default_flag
8800.0,36,0.0824,276.74,B,4670.56,4129.44,847.85,0.0,29,0
25000.0,36,0.1815,905.692185194609,D,20544.44,4455.56,2789.96,0.0,0,0
27075.0,60,0.1042,580.88,B,22721.64,4353.36,2585.85,0.0,60,0
23125.0,60,0.1499,550.03,C,0.0,23125.0,8642.06,0.0,0,0
7000.0,36,0.1543,244.1339001806776,D,0.0,2738.97,1337.98,45.0,0,1
5000.0,36,0.1139,164.62,B,3120.86,1879.14,592.76,0.0,29,0
11900.0,60,0.1305,271.0662530524663,C,0.0,11900.0,1662.69,0.0,0,0
11075.0,36,0.2485,439.47,E,8508.79,2566.21,2149.34,0.0,60,0
30000.0,60,0.1419,701.0061366230595,D,18591.75,11408.25,8220.03,0.0,0,0
12000.0,60,0.2484,351.1,E,11792.47,207.53,403.59,0.0,60,0
10000.0,36,0.0733999999999999,310.33,A,9500.15,499.85,86.15,0.0,60,0
12000.0,36,0.1114,393.67,B,0.0,12000.0,2171.72,0.0,0,0
10000.0,60,0.1402999999999999,232.84,C,10000.0,0.0,0.0,0.0,60,0
7000.0,36,0.0698,216.075673611159,A,0.0,7000.0,631.26,0.0,0,0
4000.0,60,0.2704,122.23695815168747,F,2453.53,1546.47,2487.45,0.0,0,0
4000.0,36,0.3019,170.2228415430794,F,3859.56,140.44,200.0,0.0,0,0
8000.0,36,0.1259,267.9744783775617,C,5659.72,2340.28,875.36,0.0,0,0
20400.0,60,0.2,540.48,D,18699.42,1700.58,2600.59,0.0,29,0
14900.0,36,0.1942,549.35,D,14900.0,0.0,0.0,0.0,121,0
40000.0,60,0.1261999999999999,902.37,C,36519.81,3480.19,2808.36,0.0,29,0
12000.0,36,0.1122,394.12,B,0.0,12000.0,774.53,0.0,0,0
16000.0,60,0.1359,368.89981825342886,D,14831.58,1168.42,1044.98,0.0,0,0
15000.0,60,0.1299,341.22,C,9896.87,5103.13,3416.55,0.0,29,0
6000.0,36,0.1198,199.2285493713772,C,394.65,5605.35,1168.47,0.0,0,0
20000.0,60,0.3079,656.81,G,0.0,597.07,1961.75,0.0,272,0
7200.0,36,0.1898999999999999,263.89,D,0.0,7200.0,808.74,0.0,0,0
8000.0,36,0.1306,269.79,C,7817.28,182.72,81.27,0.0,60,0
10000.0,36,0.1264,335.20815176373463,C,0.0,10000.0,995.93,0.0,0,0
12000.0,36,0.0967,385.35,B,0.0,12000.0,1899.98,0.0,0,0
3600.0,36,0.089,114.32,A,0.0,3600.0,346.83,0.0,0,0
15000.0,36,0.0532,451.73,A,0.0,15000.0,448.51,0.0,0,0
24000.0,36,0.0532,722.76,A,6362.77,17637.23,1870.2,0.0,60,0
27200.0,36,0.1261999999999999,911.51,C,18535.68,8664.32,3080.43,0.0,29,0
10000.0,36,0.198,370.61756450387406,D,0.0,6591.9,3023.7953,0.0,0,1
14000.0,36,0.1545,488.4054106405767,D,11074.45,2925.55,1470.14,0.0,0,0
10000.0,36,0.1947,368.9408530586312,E,0.0,7716.29,3252.25,147.59,155,1
15000.0,36,0.2799,620.3727797498882,F,7606.72,6743.28,1958.57,0.0,56,0
7000.0,36,0.1049,227.49,B,0.0,7000.0,1182.65,15.0,0,0
35000.0,60,0.0749,701.1618937154435,A,31050.42,3949.58,1659.7,0.0,0,0
18000.0,60,0.1199,400.31,B,15934.68,2065.32,1585.43,0.0,60,0
10000.0,36,0.0819,314.25,A,0.0,10000.0,1279.16,0.0,0,0
14000.0,60,0.1505,333.43,C,0.0,14000.0,6.91,0.0,0,0
3000.0,36,0.1646,106.16,C,3000.0,0.0,0.0,0.0,60,0
12000.0,36,0.1346,406.9913210326277,C,0.0,12000.0,2373.17,0.0,0,0
5000.0,36,0.0818,157.1,B,0.0,5000.0,300.14,0.0,0,0
40000.0,60,0.1408,932.39,C,37138.88,2861.12,2701.93,0.0,29,0
9000.0,36,0.0735,279.34,A,6931.91,2068.09,438.62,0.0,60,0
6400.0,36,0.1855,233.15,E,0.0,6400.0,1316.57,0.0,0,0
13200.0,60,0.1999,349.65,E,0.0,13200.0,6036.81,0.0,0,0
15000.0,60,0.1268999999999999,338.93,C,0.0,2705.33,2055.54,0.0,667,0
12000.0,36,0.1745,430.52504896014807,D,8669.97,3330.03,1836.33,0.0,0,0
10000.0,36,0.1318,337.81,C,1634.67,8365.33,2095.8,0.0,60,0
24000.0,60,0.1399,558.32,C,17771.93,6228.07,4966.59,0.0,60,0
40000.0,60,0.1505,952.65,C,35233.18,4766.82,4726.24,47.63,29,0
10000.0,36,0.1898999999999999,366.51,D,6505.15,3494.85,2039.73,0.0,60,0
15000.0,60,0.1274,339.31,C,11877.87,3122.13,2322.12,0.0,60,0
10000.0,36,0.1119,328.2876749506771,B,0.0,10000.0,1817.28,0.0,0,0
20000.0,60,0.1499,475.7,C,16567.83,3432.17,3293.13,0.0,29,0
35000.0,60,0.1951999999999999,917.97,E,0.0,35000.0,9646.64,0.0,0,0
14000.0,36,0.2410999999999999,550.07,F,0.0,542.97,519.67,0.0,790,0
8400.0,36,0.1399,287.06,C,0.0,8400.0,1215.46,0.0,0,0
15000.0,60,0.2039,400.68,D,14854.19,145.81,237.88,0.0,60,0
4800.0,36,0.2582,192.94,E,0.0,181.25,187.42,0.0,241,0
30000.0,36,0.1358,1019.22,C,27937.68,2062.32,950.07,0.0,29,0
8000.0,36,0.1499,277.29,C,5513.39,2486.61,1104.84,0.0,151,0
25000.0,36,0.1195,829.7608472382365,C,0.0,25000.0,4880.83,0.0,0,0
10000.0,60,0.1599,243.13,C,8451.59,1548.41,1629.16,0.0,60,0
11000.0,36,0.1229,366.89,C,722.36,10277.64,2189.11,0.0,29,0
24475.0,60,0.2548999999999999,725.43,E,19725.13,4749.87,8946.65,0.0,60,0
20000.0,60,0.1199,444.79,C,12131.21,7868.79,4572.01,0.0,60,0
14950.0,60,0.263,450.27,E,0.0,14950.0,2583.19,0.0,0,0
10000.0,60,0.1431,234.3,C,0.0,10000.0,1809.18,0.0,0,0
30000.0,60,0.1408,699.3,C,26337.77,3662.23,3307.3,0.0,60,0
19075.0,36,0.1875,696.81,D,0.0,5215.05,3141.03,0.0,1702,0
18150.0,36,0.1559,634.44,D,0.0,18150.0,381.52,0.0,0,0
1600.0,36,0.1699,57.04,D,0.0,1600.0,5.29,0.0,0,0
11700.0,36,0.0916,372.93,B,3920.35,7779.65,1576.35,0.0,60,0
25000.0,60,0.15,594.7482521589696,C,0.0,25000.0,7806.38,0.0,0,0
12000.0,36,0.1099,392.81,B,0.0,12000.0,1255.23,0.0,0,0
4000.0,36,0.0943,128.01,B,3609.11,390.89,109.63,0.0,60,0
